ID respondenta,Pocit,X,Y,Městský obvod,Komentář,Věk,Bydliště,Bydliště MOb,Pohlaví
c59khczru,"Místo, kde se cítím dobře",18.258591,49.837152,Mariánské Hory a Hulváky, ,,,,nechci odpovídat
c59khczru,"Místo, kde se cítím dobře",18.275528,49.815909,Vítkovice, ,,,,nechci odpovídat
c59khczru,"Místo, které doporučím návštěvníkům",18.252754,49.817385,Mariánské Hory a Hulváky, ,,,,nechci odpovídat
c59khczru,"Místo, které doporučím návštěvníkům",18.28949,49.833997,Moravská Ostrava a Přívoz, ,,,,nechci odpovídat
c59khczru,"Místo, které by se mělo rozvíjet",18.283997,49.850602,Moravská Ostrava a Přívoz, ,,,,nechci odpovídat
c59khczru,"Místo, které by se mělo rozvíjet",18.246574,49.843518,Mariánské Hory a Hulváky, ,,,,nechci odpovídat
c59khczru,"Místo, kde se necítím dobře",18.228378,49.823366,Nová Ves, ,,,,nechci odpovídat
c59khczru,"Místo, kde se necítím dobře",18.232841,49.808745,Ostrava - Jih, ,,,,nechci odpovídat
c59khczru,"Místo, kde se necítím dobře",18.249764,49.799116,Ostrava - Jih, ,,,,nechci odpovídat
pqe4446tl,"Místo, kde se cítím dobře",18.248323,49.804961,Ostrava - Jih, ,15-24,v Ostravě,,nechci odpovídat
pqe4446tl,"Místo, které doporučím návštěvníkům",18.248076,49.80484,Ostrava - Jih, ,15-24,v Ostravě,,nechci odpovídat
pqe4446tl,"Místo, kde se necítím dobře",16.60208,49.185441,mimo Ostravu, ,15-24,v Ostravě,,nechci odpovídat
rucgiv20b,"Místo, kde se cítím dobře",18.164345,49.830993,Poruba,"Obecně mi Poruba přijde jako nejpříznivější a nejbezpečnější místo v Ostravě💖.",15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se cítím dobře",18.125316,49.788102,mimo Ostravu, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se cítím dobře",18.288022,49.85227,Moravská Ostrava a Přívoz, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, které doporučím návštěvníkům",18.164675,49.831345,Poruba, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, které doporučím návštěvníkům",18.292098,49.835439,Moravská Ostrava a Přívoz, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, které doporučím návštěvníkům",18.29289,49.848245,Moravská Ostrava a Přívoz, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, které by se mělo rozvíjet",18.167706,49.841832,Pustkovec, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, které by se mělo rozvíjet",18.187683,49.89644,mimo Ostravu, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, které by se mělo rozvíjet",18.193318,49.816566,Svinov, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se necítím dobře",18.256699,49.828582,Mariánské Hory a Hulváky, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se necítím dobře",18.274312,49.830675,Moravská Ostrava a Přívoz, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se necítím dobře",18.304013,49.85054,Slezská Ostrava, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se necítím dobře",18.210222,49.824803,Svinov, ,15-24,mimo Ostravu,,žena
rucgiv20b,"Místo, kde se necítím dobře",18.184243,49.826469,Poruba, ,15-24,mimo Ostravu,,žena
humjit67u,"Místo, kde se cítím dobře",18.173447,49.829291,Poruba, ,15-24,v Ostravě,Poruba,žena
humjit67u,"Místo, které doporučím návštěvníkům",18.281336,49.816112,Vítkovice, ,15-24,v Ostravě,Poruba,žena
humjit67u,"Místo, které by se mělo rozvíjet",18.281164,49.831533,Moravská Ostrava a Přívoz,"Zastávka Náměstí republiky",15-24,v Ostravě,Poruba,žena
humjit67u,"Místo, kde se necítím dobře",18.289189,49.830675,Moravská Ostrava a Přívoz, ,15-24,v Ostravě,Poruba,žena
lw4mnev7s,"Místo, kde se cítím dobře",18.171558,49.829844,Poruba,"Poruba je krásná, nejhezčí a nejbezpečnější část Ostravy",15-24,v Ostravě,Poruba,žena
lw4mnev7s,"Místo, které doporučím návštěvníkům",18.280756,49.816029,Vítkovice,"Asi jediné návštěvní místo v Ostravě, které za něco stojí",15-24,v Ostravě,Poruba,žena
lw4mnev7s,"Místo, které by se mělo rozvíjet",18.291035,49.839422,Moravská Ostrava a Přívoz,"Centrum Ostravy je velmi zanedbané",15-24,v Ostravě,Poruba,žena
lw4mnev7s,"Místo, kde se necítím dobře",18.281937,49.833775,Moravská Ostrava a Přívoz,"V celé části Ostravy",15-24,v Ostravě,Poruba,žena
zve8oinh3,"Místo, kde se cítím dobře",18.235245,49.729806,mimo Ostravu, ,15-24,mimo Ostravu,,žena
zve8oinh3,"Místo, které doporučím návštěvníkům",18.254771,49.804342,Vítkovice, ,15-24,mimo Ostravu,,žena
zve8oinh3,"Místo, které by se mělo rozvíjet",18.263054,49.856468,Moravská Ostrava a Přívoz, ,15-24,mimo Ostravu,,žena
zve8oinh3,"Místo, kde se necítím dobře",18.258934,49.854476,Moravská Ostrava a Přívoz, ,15-24,mimo Ostravu,,žena
ftxajndt8,"Místo, kde se cítím dobře",18.268662,49.837449,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.262279,49.836423,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.267041,49.842272,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.26855,49.839247,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.269325,49.826654,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.274519,49.828756,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.164647,49.844574,Poruba, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.147343,49.847537,Plesná, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.154842,49.843828,Poruba, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.159971,49.84414,Poruba, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.175734,49.842626,Poruba, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.179326,49.842224,Poruba, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.314318,49.835667,Slezská Ostrava, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se cítím dobře",18.315003,49.839698,Slezská Ostrava, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, které doporučím návštěvníkům",18.314185,49.839516,Slezská Ostrava, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, které by se mělo rozvíjet",18.262024,49.829429,Mariánské Hory a Hulváky, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, které by se mělo rozvíjet",18.252266,49.83386,Mariánské Hory a Hulváky, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, které by se mělo rozvíjet",18.25821,49.834112,Mariánské Hory a Hulváky, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, které by se mělo rozvíjet",18.254935,49.833889,Mariánské Hory a Hulváky, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se necítím dobře",18.261799,49.829547,Mariánské Hory a Hulváky, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se necítím dobře",18.261627,49.829969,Mariánské Hory a Hulváky, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se necítím dobře",18.271433,49.832246,Moravská Ostrava a Přívoz, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se necítím dobře",18.266051,49.813782,Vítkovice, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
ftxajndt8,"Místo, kde se necítím dobře",18.294004,49.842738,Slezská Ostrava, ,25-34,v Ostravě,Mariánské Hory a Hulváky,muž
2pb4gcrlh,"Místo, kde se cítím dobře",18.21353,49.796336,Svinov,"Nádherné místo pro relax v přírodě.",45-54,v Ostravě,Ostrava - Jih,muž
2pb4gcrlh,"Místo, kde se cítím dobře",18.238678,49.780765,Stará Bělá,"Nádherný lesopark. Bohužel dle mého názoru převažuje těžba stromů nad rekreační funkcí lesa v posledních letech.",45-54,v Ostravě,Ostrava - Jih,muž
2pb4gcrlh,"Místo, které doporučím návštěvníkům",18.185463,49.764524,Polanka nad Odrou,"CHKO na území města Ostravy.",45-54,v Ostravě,Ostrava - Jih,muž
